,Book-Rating_x,Book-Rating_y,Unnamed: 0,ISBN,bookTitle,bookAuthor,yearOfPublication,publisher
408,5787,8.185289957567186,408,0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown"
748,4108,8.435318275154003,748,0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
522,3134,8.182767624020888,522,0312195516,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA
2143,2798,8.939297124600639,2143,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books
356,2595,8.452768729641694,356,0142001740,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books
26,2551,4.3907056798623065,26,0971880107,Wild Animus,Rich Shapero,2004,Too Far
1105,2524,7.8875,1105,0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,Perennial
706,2402,8.142372881355932,706,0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,Warner Books
231,2219,7.982014388489208,231,0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books
118,2179,8.100371747211897,118,0671027360,Angels &amp; Demons,Dan Brown,2001,Pocket Star
305,2062,7.338078291814947,305,044023722X,A Painted House,John Grisham,2001,Dell Publishing Company
4824,2041,7.5036764705882355,4824,0316601950,The Pilot's Wife : A Novel,Anita Shreve,1999,Back Bay Books
1922,1999,7.80859375,1922,067976402X,Snow Falling on Cedars,David Guterson,1995,Vintage Books USA
107,1940,8.016528925619834,107,0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion
37,1914,8.94392523364486,37,0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company
1496,1899,8.046610169491526,1496,0743418174,Good in Bed,Jennifer Weiner,2002,Washington Square Press
90,1868,7.68724279835391,90,0316769487,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown"
5506,1861,9.033980582524272,5506,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
563,1815,8.030973451327434,563,0156027321,Life of Pi,Yann Martel,2003,Harvest Books
2526,1789,7.778260869565218,2526,0345337662,Interview with the Vampire,Anne Rice,1993,Ballantine Books
1373,1783,8.178899082568808,1373,0060930535,The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,Perennial
2290,1723,8.615,2290,0385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,1997,Doubleday
541,1705,7.54424778761062,541,0312278586,The Nanny Diaries: A Novel,Emma McLaughlin,2002,St. Martin's Press
4430,1678,7.327510917030568,4430,0375727345,House of Sand and Fog,Andre Dubus III,2000,Vintage Books
485,1671,7.700460829493087,485,0671021001,She's Come Undone (Oprah's Book Club),Wally Lamb,1998,Pocket
3459,1660,8.783068783068783,3459,0439064872,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000,Scholastic
456,1627,7.822115384615385,456,044021145X,The Firm,John Grisham,1992,Bantam Dell Publishing Group
1680,1617,7.55607476635514,1680,0440226430,Summer Sisters,Judy Blume,1999,Dell Publishing Company
67,1590,8.195876288659793,67,0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
2602,1584,7.689320388349515,2602,0446605239,The Notebook,Nicholas Sparks,1998,Warner Books
1195,1570,7.85,1195,0345370775,Jurassic Park,Michael Crichton,1999,Ballantine Books
1106,1559,7.531400966183575,1106,0671003755,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press
1387,1558,8.607734806629834,1387,0345361792,A Prayer for Owen Meany,John Irving,1990,Ballantine Books
953,1539,7.93298969072165,953,0440211727,A Time to Kill,JOHN GRISHAM,1992,Dell
28,1531,7.851282051282051,28,0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books
1406,1473,8.049180327868852,1406,1400034779,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003,Anchor
5662,1457,7.285,5662,0440241073,The Summons,John Grisham,2002,Dell Publishing Company
2230,1415,8.628048780487806,2230,0345342968,Fahrenheit 451,RAY BRADBURY,1987,Del Rey
134,1413,7.596774193548387,134,0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial
3354,1407,8.73913043478261,3354,0345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,1986,Del Rey
1863,1368,7.728813559322034,1863,0446610038,1st to Die: A Novel,James Patterson,2002,Warner Vision
4269,1343,7.853801169590644,4269,0316284955,White Oleander : A Novel (Oprah's Book Club),Janet Fitch,2000,Back Bay Books
1194,1321,7.957831325301205,1194,0440206154,Red Dragon,Thomas Harris,2000,Dell Publishing Company
2445,1320,7.586206896551724,2445,0440214041,The Pelican Brief,John Grisham,1993,Dell
18,1302,7.704142011834319,18,0440234743,The Testament,John Grisham,1999,Dell
659,1296,8.415584415584416,659,0060938455,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002,Perennial
1485,1296,8.150943396226415,1485,0060934417,Bel Canto: A Novel,Ann Patchett,2002,Perennial
3329,1290,7.771084337349397,3329,0060502258,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002,HarperTorch
3839,1274,9.035460992907801,3839,0439136350,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999,Scholastic
1325,1272,7.803680981595092,1325,0385335482,Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,2001,Delta
5431,1269,9.262773722627736,5431,0439139597,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000,Scholastic
833,1255,7.8930817610062896,833,0316776963,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books
2802,1233,7.80379746835443,2802,0060392452,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,2002,Regan Books
245,1228,7.871794871794871,245,0060987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books
2849,1218,7.293413173652695,2849,0312291639,The Nanny Diaries: A Novel,Emma McLaughlin,2003,St. Martin's Griffin
1175,1210,8.013245033112582,1175,0380789035,American Gods,Neil Gaiman,2002,HarperTorch
6330,1208,9.082706766917294,6330,0439136369,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,2001,Scholastic
497,1196,7.716129032258064,497,0842329129,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,1996,Tyndale House Publishers
2988,1183,7.73202614379085,2988,0375706771,Midwives: A Novel,Chris Bohjalian,1998,Vintage
3290,1177,7.743421052631579,3290,0440221471,The Runaway Jury,JOHN GRISHAM,1997,Dell
1051,1160,7.733333333333333,1051,0671510053,SHIPPING NEWS,Annie Proulx,1994,Scribner
1571,1158,8.83969465648855,1571,0345339703,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,1986,Del Rey
3827,1146,7.903448275862069,3827,0440213525,The Client,John Grisham,1994,Dell Publishing Company
4180,1141,7.506578947368421,4180,044651652X,The Bridges of Madison County,Robert James Waller,1992,Warner Books
707,1140,6.909090909090909,707,0140293248,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,Penguin Books
608,1137,7.951048951048951,608,0345313860,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986,Ballantine Books
5065,1126,8.159420289855072,5065,0060959037,Prodigal Summer: A Novel,Barbara Kingsolver,2001,Perennial
1802,1125,7.5,1802,0440236673,The Brethren,John Grisham,2000,Island
5432,1124,8.920634920634921,5432,0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic
1908,1116,8.08695652173913,1908,0385492081,Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,1998,Anchor
479,1109,7.6482758620689655,479,0375726403,Empire Falls,Richard Russo,2002,Vintage Books USA
2864,1107,8.386363636363637,2864,0684874350,ANGELA'S ASHES,Frank McCourt,1996,Scribner
487,1106,8.253731343283581,487,0805063897,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2002,Owl Books
